Info:TIM: 6625
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 4.873084	-6.717163	5.224792	
Info:ACC: 4.873682	-6.717163	5.224792	
Info:ACC: 4.720557	-6.717163	5.224195	
Info:ACC: 4.873682	-6.717163	5.224792	
Info:ACC: 4.873682	-6.717163	5.224792	
Info:ACC: 4.873682	-6.717163	5.224792	
Info:ACC: 4.873084	-6.870288	5.224195	
Info:ACC: 4.719958	-6.870288	5.224195	
Info:ACC: 4.873084	-6.717163	5.224792	
Info:ACC: 4.873682	-6.717163	5.224792	
Info:ACC: 4.873682	-6.716565	5.377917	
Info:ACC: 4.873682	-6.716565	5.377917	
Info:ACC: 4.873682	-6.716565	5.377917	
Info:ACC: 4.873682	-6.717163	5.224195	
Info:ACC: 4.719958	-6.870288	5.224195	
Info:ACC: 4.719958	-6.717163	5.224792	
Info:ACC: 4.873682	-6.717163	5.224792	
Info:ACC: 4.873682	-6.717163	5.224792	
Info:ACC: 4.873682	-6.717163	5.224195	
Info:ACC: 4.719958	-6.870288	5.224195	
Info:ACC: 4.719958	-6.870288	5.224195	
Info:ACC: 4.873682	-6.717163	5.377917	
Info:ACC: 4.873682	-6.716565	5.377917	
Info:ACC: 4.873682	-6.716565	5.377917	
Info:ACC: 4.873682	-6.716565	5.377917	
Info:ACC: 4.873682	-6.869690	5.377917	
Info:ACC: 4.873084	-6.869690	5.377917	
GDB->counter = 1
Info:ACC: 4.873084	-6.716565	5.377917	
Info:ACC: 4.720557	-6.716565	5.377319	
Info:ACC: 4.720557	-6.716565	5.377319	
Info:ACC: 4.720557	-6.717163	5.224195	
Info:ACC: 4.567431	-6.716565	5.376721	
Info:ACC: 4.566833	-6.870288	5.223596	
Info:ACC: 4.567431	-6.870288	5.224195	
Info:ACC: 4.720557	-6.717163	5.377319	
Info:ACC: 4.720557	-6.869690	5.377319	
Info:ACC: 4.873084	-6.869690	5.377917	
Info:ACC: 4.873084	-6.869092	5.531043	
Info:ACC: 4.873084	-6.869092	5.531043	
Info:ACC: 5.025610	-7.021619	5.684766	
Info:ACC: 5.178137	-7.174744	5.685364	
Info:ACC: 5.178137	-7.174744	5.685962	
Info:ACC: 5.178137	-7.174744	5.531641	
Info:ACC: 4.872485	-7.022217	5.530444	
Info:ACC: 4.872485	-7.021619	5.684766	
Info:ACC: 5.178735	-7.021020	5.991614	
Info:ACC: 5.025610	-7.172351	6.450391	
Info:ACC: 5.178137	-7.171155	6.758435	
Info:ACC: 5.791235	-6.863708	7.066480	
Info:ACC: 5.945557	-6.555664	7.525855	
Info:ACC: 6.099280	-6.400744	7.985827	
Info:ACC: 6.100476	-6.093298	8.292078	
Info:ACC: 5.949145	-5.633924	7.831506	
Info:TIM: 6626
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 5.032190	-5.178137	7.215417	
Info:ACC: 5.032788	-5.024414	7.677185	
Info:ACC: 5.799011	-5.022620	7.985229	
Info:ACC: 5.799609	-4.867700	8.290283	
Info:ACC: 5.493360	-4.715173	7.829114	
Info:ACC: 5.035181	-4.565039	6.756640	
Info:ACC: 5.188904	-4.262378	6.453382	
Info:ACC: 6.261377	-4.107459	7.374524	
Info:ACC: 6.569421	-3.645093	7.987024	
Info:ACC: 6.263770	-3.948352	8.904577	
Info:ACC: 5.955725	-3.945960	8.902783	
Info:ACC: 5.498145	-3.335852	7.983435	
Info:ACC: 5.499939	-3.033789	6.912158	
Info:ACC: 5.959912	-3.036182	6.915149	
Info:ACC: 6.879260	-2.881860	7.377515	
Info:ACC: 7.339233	-2.573816	7.531238	
Info:ACC: 7.340430	-2.114441	7.377515	
Info:ACC: 6.884046	-1.505530	5.843872	
Info:ACC: 6.729126	-2.729333	8.911158	
Info:ACC: 7.494153	-1.496558	7.832703	
Info:ACC: 5.507715	-1.655066	7.368543	
Info:ACC: 4.739697	-1.504333	6.146533	
Info:ACC: 7.040759	-0.131592	5.541809	
Info:ACC: 7.656250	0.021533	5.389880	
Info:ACC: 7.808777	0.020935	5.388684	
Info:ACC: 7.504321	0.633435	5.540613	
Info:ACC: 6.741089	0.939685	5.078247	
GDB->counter = 1
Info:ACC: 5.822339	0.935498	4.004578	
Info:ACC: 6.281116	0.628052	4.006970	
Info:ACC: 6.893616	0.781177	4.161890	
Info:ACC: 7.047339	0.934900	4.315015	
Info:ACC: 7.200464	0.782971	4.163684	
Info:ACC: 7.659241	0.779980	2.940479	
Info:ACC: 8.424866	0.925928	1.260889	
Info:ACC: 9.650464	0.771606	1.875183	
Info:ACC: 9.342420	0.313428	1.873987	
Info:ACC: 9.187500	-0.605920	1.718469	
Info:ACC: 8.722742	-1.832117	1.107764	
Info:ACC: 9.946546	-0.916357	0.192004	
Info:ACC: 9.646276	0.458777	0.035291	
Info:ACC: 8.729321	-0.152527	0.035291	
Info:ACC: 9.338831	-0.612500	0.037085	
Info:ACC: 10.103857	-0.154321	-0.267371	
Info:ACC: 9.801196	1.070679	-0.114246	
Info:ACC: 9.804785	1.379321	0.649585	
Info:ACC: 9.499133	1.226794	0.496460	
Info:ACC: 9.651062	1.073669	0.649585	
Info:ACC: 9.191687	1.228589	1.257300	
Info:ACC: 7.814160	1.077258	1.257898	
Info:ACC: 8.883642	1.076062	1.414014	
Info:ACC: 9.347204	1.230981	1.414014	
Info:ACC: 9.345410	1.690356	1.721460	
Info:ACC: 9.501526	1.844080	1.567737	
Info:TIM: 6627
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 9.347204	1.691553	2.027112	
Info:ACC: 9.499731	1.232178	2.180835	
Info:ACC: 9.191687	1.080847	2.485889	
Info:ACC: 9.038562	1.233374	2.026514	
Info:ACC: 9.192883	1.385901	2.179639	
Info:ACC: 9.039759	1.540222	2.485291	
Info:ACC: 9.193481	1.693945	2.486487	
Info:ACC: 9.499731	1.387695	2.487085	
Info:ACC: 9.651660	1.388294	2.487683	
Info:ACC: 9.499133	1.540820	2.333960	
Info:ACC: 9.499731	1.540222	2.333960	
Info:ACC: 9.499133	1.233972	2.333960	
Info:ACC: 9.498535	1.233972	2.333960	
Info:ACC: 9.345410	1.387097	2.333362	
Info:ACC: 9.192883	1.387097	2.333362	
Info:ACC: 9.346008	1.387097	2.333362	
Info:ACC: 9.346008	1.233972	2.333362	
Info:ACC: 9.345410	1.233972	2.333362	
Info:ACC: 9.345410	1.233972	2.332764	
Info:ACC: 9.192286	1.386499	2.179639	
Info:ACC: 9.346008	1.386499	2.180237	
Info:ACC: 9.345410	1.080847	2.333362	
Info:ACC: 9.192286	1.233972	2.332764	
Info:ACC: 9.192286	1.233972	2.332764	
Info:ACC: 9.192286	1.233972	2.332764	
Info:ACC: 9.192286	1.387097	2.332764	
Info:ACC: 9.192883	1.387097	2.332764	
GDB->counter = 1
Info:ACC: 9.345410	1.233972	2.333362	
Info:ACC: 9.345410	1.233972	2.333362	
Info:ACC: 9.345410	1.387097	2.180237	
Info:ACC: 9.346606	1.540222	2.333960	
Info:ACC: 9.346008	1.387097	2.333362	
Info:ACC: 9.345410	1.233972	2.486487	
Info:ACC: 9.192286	1.234570	2.332165	
Info:ACC: 9.193481	1.693347	2.179639	
Info:ACC: 9.347204	1.539624	2.333362	
Info:ACC: 9.346008	1.387097	2.333960	
Info:ACC: 9.499133	1.387097	2.333362	
Info:ACC: 9.346008	1.387097	2.332764	
Info:ACC: 9.039160	1.233972	2.332165	
Info:ACC: 9.192883	1.386499	2.332764	
Info:ACC: 9.192883	1.386499	2.180237	
Info:ACC: 9.346008	1.386499	2.333362	
Info:ACC: 9.346008	1.387097	2.333362	
Info:ACC: 9.346008	1.387097	2.333362	
Info:ACC: 9.346008	1.387097	2.333362	
Info:ACC: 9.346008	1.387097	2.333362	
Info:ACC: 9.346008	1.387097	2.486487	
Info:ACC: 9.346008	1.387695	2.486487	
Info:ACC: 9.346008	1.387695	2.486487	
Info:ACC: 9.346008	1.540820	2.486487	
Info:ACC: 9.346606	1.540820	2.486487	
Info:ACC: 9.346606	1.540820	2.485889	
info: :set_lcd_on:6635440:294: set lcd?
info: :set_lcd_on:6635440:297: set lcd on
