Info:TIM: 6663
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 5.650073	-3.953735	7.065283	
Info:ACC: 5.650073	-4.106262	7.218408	
Info:ACC: 5.649475	-4.106262	7.065283	
Info:ACC: 5.649475	-4.259985	7.065283	
Info:ACC: 5.648877	-4.259985	7.065283	
Info:ACC: 5.648877	-4.413110	7.065283	
Info:ACC: 5.495154	-4.413110	7.217810	
Info:ACC: 5.495752	-4.259387	7.217810	
Info:ACC: 5.648877	-4.259387	7.065283	
Info:ACC: 5.801404	-4.413110	7.065881	
Info:ACC: 5.801404	-4.413110	7.218408	
Info:ACC: 5.494555	-4.718762	7.217810	
Info:ACC: 5.493958	-4.718762	7.218408	
Info:ACC: 5.799609	-4.872485	7.067078	
Info:ACC: 6.105261	-5.026208	6.760828	
Info:ACC: 6.257788	-5.332458	6.914551	
Info:ACC: 5.949744	-5.791833	6.759631	
Info:ACC: 5.949145	-5.793628	6.454577	
Info:ACC: 5.949744	-5.793628	6.454577	
Info:ACC: 6.101672	-6.099878	6.608301	
Info:ACC: 5.946753	-6.558655	6.606506	
Info:ACC: 5.946753	-6.251208	6.760828	
Info:ACC: 6.254199	-6.099280	6.455176	
Info:ACC: 6.101672	-5.947351	6.148328	
Info:ACC: 5.948547	-5.947949	6.300855	
Info:ACC: 6.101672	-5.946753	6.607703	
Info:ACC: 6.254797	-6.098083	6.915149	
GDB->counter = 1
Info:ACC: 6.866699	-6.098083	6.917542	
Info:ACC: 7.173547	-5.639307	6.765015	
Info:ACC: 7.175342	-5.333056	6.764417	
Info:ACC: 7.023413	-5.179334	6.917542	
Info:ACC: 7.024011	-4.873084	6.765015	
Info:ACC: 7.331458	-4.568030	6.459961	
Info:ACC: 7.485181	-4.568628	6.614282	
Info:ACC: 7.944556	-4.414905	6.768603	
Info:ACC: 7.946350	-3.494958	7.071863	
Info:ACC: 7.183716	-3.493762	6.613086	
Info:ACC: 7.795020	-3.498547	5.389880	
Info:ACC: 7.950537	-2.735913	5.237952	
Info:ACC: 8.564832	-2.428467	5.852844	
Info:ACC: 9.026001	-1.967297	6.312818	
Info:ACC: 8.568420	-1.353003	6.614881	
Info:ACC: 7.345813	-0.740503	6.151917	
Info:ACC: 7.041955	-0.284119	5.233765	
Info:ACC: 7.350000	0.172266	4.776782	
Info:ACC: 7.503723	0.171667	4.623059	
Info:ACC: 7.350598	0.169275	3.703113	
Info:ACC: 7.503723	0.320605	3.554175	
Info:ACC: 8.731714	1.543811	3.098389	
Info:ACC: 9.349597	2.768213	3.251514	
Info:ACC: 9.046936	3.534436	3.097192	
Info:ACC: 8.743078	3.992615	2.789746	
Info:ACC: 8.591150	4.145740	3.249121	
Info:TIM: 6664
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 8.743677	3.842480	4.167871	
Info:ACC: 8.283704	3.692346	4.471728	
Info:ACC: 7.823730	3.845471	4.470532	
Info:ACC: 7.518677	4.151123	4.316211	
Info:ACC: 7.366748	4.151123	4.163684	
Info:ACC: 7.671802	3.842480	3.399255	
Info:ACC: 7.823730	3.533838	2.785559	
